physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
GI problem,GI,Gastrointestinal problem_frequency,,9,,657,0.3973,0.01909,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,589,0.4228,0.02036,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,36,0.69,0.0816,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,69,0,0.0587,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8,,131,0.58,0.0459,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.6,,163,0.26,0.0357,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,4.72,,323,0.48,0.0278,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5,,328,0,0.0276,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,24,,27,0.704,0.1148,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,20,0.65,0.0995,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,23,0.435,0.0944,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,13.5,,23,0.261,0.0842,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8.1,,35,0.429,0.0791,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,37,,43,0.488,0.0714,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6.8,,54,0.481,0.0663,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6,,47,0.702,0.0638,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,48.5,,89,0.404,0.051,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,13.5,,59,0.153,0.0485,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,12.75,,95,0.611,0.0485,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.8,,115,0.374,0.0459,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8.9,,89,0.247,0.0459,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11.6,,132,0.462,0.0434,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5.4,,118,0.373,0.0434,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,49.9,,148,0.459,0.0408,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,52.4,,143,0.497,0.0408,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6,,160,0.588,0.0383,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6,,160,0.588,0.0383,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5,,169,0,0.0357,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,30,,83,0.12,0.0357,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,2.25,,195,0.692,0.0332,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8.36,,136,0.824,0.0332,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5.21,,154,0.247,0.0332,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6,,159,0.226,0.0332,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6.3,,247,0.478,0.0306,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3,,255,0.478,0.0306,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7.16,,158,0.139,0.0281,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,44.5,,255,0.208,0.0255,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6.11,,340,0.65,0.0255,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,12,,82,0.049,0.0255,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8.48,,610,0.411,0.0204,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,13.79,,512,0.738,0.0179,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.5,,1244,0.441,0.0153,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.5,,633,0.188,0.0153,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.5,,499,0.074,0.0128,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,29,,1507,0.347,0.0128,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9.03,,2756,0.377,0.0102,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.5,,560,0.05,0.0102,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,2,,403,0.025,0.0102,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,67,,4685,0.486,0.0077,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,29,,1772,0.126,0.0077,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,1,,417,0.019,0.0077,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,18.39,,4123,0.057,0.0051,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5.9,,3335,0.137,0.0051,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9.5,,5053,0.281,0.0051,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,17.5,,4790,0.093,0.0026,frequency,frequency
GI_abdominal pain,GI,Gastrointestinal problem_frequency,,10,,59,0,0.0001,frequency,frequency
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,7.4,66,33,1.52,0.5311,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,7,104,51,4.06,0.8281,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,6.5,455,412,7.64,0.5344,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,9.7,198,51,2.42,0.5327,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,7.6,200,50,1,0.8447,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,8.3,1308,589,1.39,1.5385,OR,ratio
GI_abdominal pain,GI,Gastrointestinal problem_ratio,,10,103,59,0.5177,0.3633,OR,ratio
GI_constipation,GI,Gastrointestinal problem_frequency,,20,,98,0,0.04983,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,24,,116,0,0.037,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,35,,67,0,0.05736,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,48,,72,0.319,0.05493,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,6.8,,54,0.2778,0.06095,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,10,,59,0.32,0.06073,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_frequency,,3.8,,115,0.339,0.04414,frequency,frequency
GI_constipation,GI,Gastrointestinal problem_ratio,,7.4,66,33,7.88,0.5789,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,7,104,51,5.13,0.6804,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,6.5,455,412,0.86,0.6322,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,9.7,198,51,7.32,0.5588,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,7.6,200,50,4.13,0.4798,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,8.3,1308,589,6.42,0.4287,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,10,103,59,2.138,0.48,OR,ratio
GI_constipation,GI,Gastrointestinal problem_ratio,,3.85,230,115,2.96,0.97,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_frequency,,6.9,,20,0.1,0.06708,frequency,frequency
GI_diarrhea,GI,Gastrointestinal problem_frequency,,10,,375,0.068,0.013,frequency,frequency
GI_diarrhea,GI,Gastrointestinal problem_frequency,,6.8,,54,0.2593,0.05964,frequency,frequency
GI_diarrhea,GI,Gastrointestinal problem_frequency,,10,,59,0.11,0.04073,frequency,frequency
GI_diarrhea,GI,Gastrointestinal problem_frequency,,3.8,,115,0.122,0.03052,frequency,frequency
GI_diarrhea,GI,Gastrointestinal problem_ratio,,7.4,66,33,1.52,0.6491,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,4.23,545,96,14.12,1.6373,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,7,104,51,5.65,1.1127,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,6.5,455,412,19.8,1.0169,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,9.7,198,51,6.69,0.5244,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,7.6,200,50,5.27,0.8093,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,8.3,1308,589,9.23,0.5171,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,10,35775,375,7.1,0.3032,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,10,103,59,2.377,0.8422,OR,ratio
GI_diarrhea,GI,Gastrointestinal problem_ratio,,3.85,230,115,2.52,1.28,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,4.23,545,96,1.03,0.3884,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,7,104,51,14.91,0.5913,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,6.5,455,412,12.1,0.358,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,7,80,58,48.25,0.7173,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,9.7,198,51,11.67,0.5436,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,7.6,200,50,6,0.4408,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,6.891666667,220,57,5.24,0.253,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,8.3,1308,589,4.07,0.3521,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,10,35775,375,2.6,0.2118,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,5.4,454,118,0.993,0.2323,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,8.9,347,89,1.474,0.2939,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,3.85,230,115,3.44,1.12,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,1.75,40315,195,20.67,0.5819,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,4.72,142,323,3.74,0.2173,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,3.5,1254,1244,3.85,0.0896,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,9.2,356,107,3.04,0.3025,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,4,184,94,7.35,0.3432,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,4.63,948,656,3.86,0.1348,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,4.63,873,656,4.23,0.2618,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,10.3,103,59,1.75,0.421,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,8.59,138,69,1.55,0.3849,OR,ratio
GI_GI problems,GI,Gastrointestinal problem_ratio,,5.1,212,328,2.82,0.1954,OR,ratio
GI_nausea,GI,Gastrointestinal problem_frequency,,3.8,,115,0.017,0.01205,frequency,frequency
GI_vomiting,GI,Gastrointestinal problem_frequency,,10,,59,0.03,0.02221,frequency,frequency
GI_vomiting,GI,Gastrointestinal problem_frequency,,3.8,,115,0.07,0.02379,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,7.5,,17348,0.0294,0.00128,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,20,,7715,0.0388,0.0022,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,10.81,,167,0.073,0.02013,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,9.71,,746,0.062,0.00883,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,3,,35,0.257,0.0714,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,36.1,,92,0.12,0.0332,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,52.4,,143,0.119,0.0255,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,13.5,,59,0.017,0.023,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,13.3,,81,0.025,0.0204,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,11.4,,100,0.01,0.0128,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,11.25,,199,0.035,0.0128,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,29,,1772,0.185,0.0077,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,29,,1507,0.047,0.0051,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,21,,1409,0.016,0.0026,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,8,,2568,0.017,0.0026,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,8,,2352,0.006,0.0026,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,8,,7773,0.014,0.0026,frequency,frequency
Hearing Disorder,Sensation,Hearing disease_frequency,,18.39,,4123,0.019,0.0001,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,3.875,,180,0.7423,0.0326,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,8.335,,100,0.05,0.02179,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,9,,785,0.0204,0.00505,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,8,,308,0.0548,0.01297,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,11,,37828,0.0184,0.00069,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,10.2,,3750,0.2365,0.00694,frequency,frequency
Hearing impairment,Sensation,Hearing disease_frequency,,8,,5590,0.0704,0.00342,frequency,frequency
Hearing loss,Sensation,Hearing disease_frequency,,7.32,,199,0.035,0.01303,frequency,frequency
Hyperlipidemia,Metabolic disease,Metabolic disease_frequency,,23.5,,116,0.095,0.02722,frequency,frequency
Hyperlipidemia,Metabolic disease,Metabolic disease_frequency,,34.5,,67,0.328,0.05736,frequency,frequency
Hyperlipidemia,Metabolic disease,Metabolic disease_frequency,,48,,72,0.361,0.0566,frequency,frequency
Hypertension,Metabolic disease,Metabolic disease_frequency,,23.5,,116,0.129,0.03112,frequency,frequency
Hypertension,Metabolic disease,Metabolic disease_frequency,,34.5,,67,0.105,0.03745,frequency,frequency
Hypertension,Metabolic disease,Metabolic disease_frequency,,48,,72,0.278,0.0528,frequency,frequency
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,36.5,1367,462,0.83,0.1022,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,15.3,24889,6122,1.01,0.1413,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,29,15130,1507,1.64,0.0482,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,78,"319,775",57,0.72,0.1441,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,9,"427,999","7,902",3.33,0.1584,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,34,898489,"5,372",1.26,0.0506,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,57,356004,590,0.89,0.0634,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,71.3,385,4685,1.3,0.0118,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,49.6,454,118,0.63,0.7723,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,11.67,33536,119,1.11,0.2046,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,28.5,466885,155617,0.88,0.0059,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,8.8,243859,48762,2.03,0.0527,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,28.8,241,108,1,0.2434,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,41,1223,1156,0.78,0.1195,RR,ratio
Hypertension,Metabolic disease,Metabolic disease_ratio,Hypertension_ratio,20.4,393285,5095,2.01,0.1097,RR,ratio
Metabolic Disorder,Metabolic disease,Metabolic disease_frequency,,1,,56,0.089,0.0383,frequency,frequency
Metabolic Disorder,Metabolic disease,Metabolic disease_frequency,,36.1,,92,0.011,0.0153,frequency,frequency
Metabolic Disorder,Metabolic disease,Metabolic disease_frequency,,10.25,,300,0.047,0.0128,frequency,frequency
Metabolic Disorder,Metabolic disease,Metabolic disease_frequency,,18.39,,4123,0.035,0.0026,frequency,frequency
Metabolic Disorder,Metabolic disease,Metabolic disease_frequency,,7.3,,443,0.002,0.0026,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,4,,783,0.2158,0.0147,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,8,,1091,0.2686,0.01342,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,8,,7773,0.296,0.1148,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,10.5,,26,0.846,0.0714,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,30.2,,50,0.68,0.0638,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,13.5,,72,0.681,0.0536,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,8.1,,122,0.533,0.0459,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,10,,145,0.097,0.0255,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,9.1,,660,0.236,0.0153,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,6,,1874,0.247,0.0102,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,10,,863,0.043,0.0077,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,8,,2352,0.157,0.0077,frequency,frequency
Motor Problem,Neuropsy,Motor disease_frequency,,9.5,,11814,0.869,0.0026,frequency,frequency
Movement,Neuropsy,Motor disease_frequency,,9.2,,728,0.129,0.01242,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,12.8,,25,0.16,0.07332,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,5.5,,100,0.11,0.03129,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,6.8,,54,0.4074,0.06686,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,11.3,,40,0.3,0.07246,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,8.6,,20,0.9,0.06708,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,12.7,,40,0.025,0.02469,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,12.7,,18,0.0556,0.05399,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,9.53,,31,0.2258,0.07509,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,8.5,,34,0.088,0.04858,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,11.5,,112,0.11,0.02957,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,6.83,,78,0.5897,0.05569,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,6.5,,24,0.875,0.06751,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,8.8,,49,0.1837,0.05532,frequency,frequency
nocturnal enuresis,Neuropsy,Elimination disorder_frequency,Urinary incontinence_frequency,8.4,,210,0.277,0.03088,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,23.5,,116,0.388,0.04524,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,34.5,,67,0.433,0.06053,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,48,,72,0.278,0.0528,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,8.7,,29,0.276,0.088,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,14.3,,33,0.303,0.0844,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,12.9,,28,0.821,0.0786,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,12.7,,32,0.875,0.05846,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,6.6,,71,0.282,0.0534,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,6.6,,75,0.267,0.0536,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,4.92,,111,0.243,0.0426,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,6.9,,97,0.186,0.0416,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.81,,105,0.076,0.0286,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,12.3,,36,0,0.0247,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.01,,40,0,0.0224,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10.64,,14,0.286,0.1208,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.5,,86,0.093,0.03132,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10,,454,0.304,0.02159,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9.5,,256,0.152,0.02244,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10,,53,0.17,0.0516,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.5,,79,0.228,0.0472,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,13,,67,0.075,0.03218,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,13.5,,1144,0.233,0.0125,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,13.5,,93,0.323,0.04849,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10,,1073,0.244,0.01311,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,15,,159,0.245,0.03411,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9.5,,2041,0.126,0.00735,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,6.4,,18,0.278,0.0995,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,13.5,,23,0.522,0.0969,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,4.5,,41,0.22,0.0638,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10,,42,0.19,0.0587,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,8.4,,69,0.406,0.0561,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10.5,,63,0.746,0.0536,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10.19,,85,0.471,0.0536,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.01,,40,0.1,0.0485,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10.5,,113,0.407,0.0459,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,2.5,,86,0.198,0.0408,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,11,,164,0.585,0.0383,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9,,208,0.606,0.0332,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,7.9,,276,0.638,0.0281,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,3.89,,273,0.33,0.0281,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,5.5,,376,0.351,0.0255,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,6.5,,362,0.157,0.0204,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,5.1,,429,0.184,0.0179,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,29,,1507,0.339,0.0102,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,11,,2976,0.308,0.0077,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9.5,,2769,0.521,0.0077,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9.1,,1791,0.175,0.0077,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,9.5,,5053,0.336,0.0077,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,67,,4685,0.144,0.0051,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_frequency,,10,,48762,0.082,0.0001,frequency,frequency
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,6.6,111,53,1.24,0.4437,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,5.52,153,86,0.54,0.5,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,5.52,153,86,1.33,0.6394,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,15,215,118,0.72,0.2967,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,15,215,118,1.77,0.2827,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,11,6672,2976,1.87,0.0962,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,11,6672,2976,5.23,0.0835,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10.6,98,49,0.35,0.5851,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,10.6,98,49,2.58,0.4732,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,29,16577,1507,1.41,0.0776,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,9.5,13897,5053,1.09,0.0375,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,9.5,13897,5053,1.1,0.0465,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,8.4,88,69,5,1.0665,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,8.4,88,69,9.32,1.4633,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,5.21,227,154,0.42,0.3996,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,5.21,227,154,0.53,0.4532,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,7.81,600,105,1.64,0.3962,OR,ratio
Overweight/Obesity,BMI,BMI_overweight/obesity_ratio,,14.5,8234,93,1.15,0.2611,OR,ratio
